"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Time"
"189",0,0,0,0,0,0,0,0,0,1,1,2021-04-05 00:30:00
"190",0,0,0,0,0,0,0,0,0,0,1,2021-04-05 12:30:00
"191",0,0,0,0,0,0,0,0,0,0,0,2021-04-06 00:30:00
"192",0,0,0,0,0,0,0,0,0,0,0,2021-04-06 12:30:00
"193",0,0,0,0,0,0,0,0,0,0,0,2021-04-07 00:30:00
"194",0,0,0,0,1,0,0,0,0,0,0,2021-04-07 12:30:00
"195",0,0,0,0,0,0,0,0,0,0,0,2021-04-08 00:30:00
"196",0,0,0,0,0,0,0,0,0,0,0,2021-04-08 12:30:00
"197",0,0,0,0,0,0,0,0,1,0,1,2021-04-09 00:30:00
"198",0,0,0,0,0,0,0,0,0,0,0,2021-04-09 12:30:00
"199",0,0,0,0,0,0,0,0,0,0.002,0,2021-04-10 00:30:00
"200",0,0,0,0,0,0,0,0,0,0,0,2021-04-10 12:30:00
"201",0,0,0,0,0,0,0,0,0,1,0,2021-04-11 00:30:00
"202",0,0.972,0,0,0,0,0,0,0,0,0,2021-04-11 12:30:00
"203",0,0,0,0,0,0,0,0,0,0,0,2021-04-12 00:30:00
"204",0,0,0,0,0,0,0,0,0,0,0,2021-04-12 12:30:00
"205",0,0,1,0,0,0,0,0,0,1,0,2021-04-13 00:30:00
"206",0,0,0,0,0,0,0,0,0,0,0,2021-04-13 12:30:00
"207",0,0,0,0,0,0,0,0,0,0,0,2021-04-14 00:30:00
"208",0,0.028,0,0,0,0,0,0.048,0,0,0,2021-04-14 12:30:00
"209",0,0,0,0,0,0,0,0.952,0,0,0,2021-04-15 00:30:00
"210",0,0,0,0,0,0,0,0,0,0,0,2021-04-15 12:30:00
"211",1,0,0,0,0,0,0,0,0,0,0,2021-04-16 00:30:00
"212",1,0,0,0,0,0,0,0,0,1,0,2021-04-16 12:30:00
"213",1,0,0,0,0.004,0,0,0,0,0,0,2021-04-17 00:30:00
"214",0,0,0,0,0.004,0,0,0,0,0,0,2021-04-17 12:30:00
"215",0,0,0,0,0.394,0,0,0,0,0,0,2021-04-18 00:30:00
"216",0,0,0,0,0.094,0,0,0,0,0,0,2021-04-18 12:30:00
"217",0,0,1,1,0.042,0,0,0,0,0,0,2021-04-19 00:30:00
"218",0,0,0,0,0.454,0,0,0,0,0,0,2021-04-19 12:30:00
"219",0,0,0,0,0.496,0,0,0,0,0,0,2021-04-20 00:30:00
"220",0,0,0,0,0.496,0,0,0,0,0,0,2021-04-20 12:30:00
"221",0,0,0,0,0.502,0,0,0,0,1,0,2021-04-21 00:30:00
"222",0,0,0,0,0.498,0,0,0,0,0,0,2021-04-21 12:30:00
"223",0,1,0,0,0,0,0,0,0,0,0,2021-04-22 00:30:00
"224",0,0,0,0,0.972,0,0,0,0,0,0,2021-04-22 12:30:00
"225",0,0,0,0,0,0,0,0,0.002,0,0,2021-04-23 00:30:00
"226",0.728,0,0,0.002,0.028,0.002,0,0,0,0.988,0,2021-04-23 12:30:00
"227",0,0,0,0,0,0.002,0,0,0,0,0,2021-04-24 00:30:00
"228",0.034,0,0,0,0,0,0,0,0,0,0,2021-04-24 12:30:00
"229",0,0,0.006,0,0,0.004,0,0,0,1,0,2021-04-25 00:30:00
"230",1,0,0.006,0,1,0.006,0,0,0,0,0,2021-04-25 12:30:00
"231",0,0,0.078,0,1,0.002,0,0,0,0,0,2021-04-26 00:30:00
"232",0,0,0.006,0,1,0,0,0,0,0,0,2021-04-26 12:30:00
"233",0,0,0.326,0,0,0,0,0,0,0,0,2021-04-27 00:30:00
"234",0,0,0.004,0,0,0,0,0,0,0,0,2021-04-27 12:30:00
"235",0,0,0.008,0,0,0,0,0,0,0,0,2021-04-28 00:30:00
"236",0,0,0,0,0,0,0,0,0,0,0,2021-04-28 12:30:00
"237",0,0,0.478,0,0,0,1,0,0,0,0,2021-04-29 00:30:00
"238",0,0,0,0,0,0,1,0,0,0,0,2021-04-29 12:30:00
"239",0,0,1,0,0,0,1,0,0,0,0,2021-04-30 00:30:00
"240",0,0,1,0,0,0,0,0,0,0,0,2021-04-30 12:30:00
"241",0,0,1,0,0,0,0,0,0.002,0,0,2021-05-01 00:30:00
"242",0,0,1,0,0,1,0,0,0,0,0,2021-05-01 12:30:00
"243",0,0,1,0,0,0,0,0,0,0,0,2021-05-02 00:30:00
"244",0,0,1,0,0,0,0.106,0.002,0.006,0,1,2021-05-02 12:30:00
"245",0,0,1,0,0,0,0,0.004,0.004,0,1,2021-05-03 00:30:00
"246",0,1,1,0,0,0,1,0,0.006,0,0,2021-05-03 12:30:00
"247",0.002,0,0,0,0,0,1,0,0.008,0,1,2021-05-04 00:30:00
"248",0.004,0,0,0,0,0,1,0,0.004,0,1,2021-05-04 12:30:00
"249",0.024,0,0,0,0,0,0,0.002,0.002,0,0,2021-05-05 00:30:00
"250",0,0,0.39,0,0,0,0,0,0.01,0,0,2021-05-05 12:30:00
"251",0,0,0,0,0,0,0,0.002,0.002,0.112,1,2021-05-06 00:30:00
"252",0,0,0.002,1,0,0,0,0.006,0.292,0,1,2021-05-06 12:30:00
"253",0,0,0,0,0,0,0,0,0,0.016,0,2021-05-07 00:30:00
"254",0,0,0,0,0,0,1,0,0,0.008,0,2021-05-07 12:30:00
"255",0.986,0,0,0,0,0,0,0.004,0,0.004,0,2021-05-08 00:30:00
"256",0,0,0,0,0,0,0,0.008,0.118,0,0.17,2021-05-08 12:30:00
"257",0,0,0,0,0,0,0,0.008,0,0,0,2021-05-09 00:30:00
"258",0,0,0,0,0,0,0,0.072,0,0,0.82,2021-05-09 12:30:00
"259",0.014,0,0,0,0,0,0,0.17,0,1,0,2021-05-10 00:30:00
"260",1,0,0,0,0,0,0,0.21,0,0,0,2021-05-10 12:30:00
"261",0,1,0.5,0,0,0,0,0.02,0,0,0,2021-05-11 00:30:00
"262",0,1,0,0,0,0,0,0.006,0,0,0,2021-05-11 12:30:00
"263",0,1,0.5,0,0,0,0,0.2,0,0,0,2021-05-12 00:30:00
"264",0,1,0.5,0,0,0,0,0.276,0,0,0,2021-05-12 12:30:00
"265",0,0,0.5,0,0,0,0,0.03,0,0,0,2021-05-13 00:30:00
"266",0,0,0.5,0,0,0,0,0.052,0,1,0,2021-05-13 12:30:00
"267",0,0,0,0,0,0,1,0.418,0,0,0,2021-05-14 00:30:00
"268",0,0,1,0,0,0,1,0,0,0,0,2021-05-14 12:30:00
"269",0,0,1,0,0,0,1,0.496,0,0,0,2021-05-15 00:30:00
"270",0,0,1,0,0,0,1,0.004,0,0,0,2021-05-15 12:30:00
"271",0,0,0,0,0,0,0,0.5,0.572,0,0,2021-05-16 00:30:00
"272",0,0.002,0,0,0,0,0,0.5,0,0,0,2021-05-16 12:30:00
"273",0,0.006,0,0,0,0,0,0.5,0.018,0,0.35,2021-05-17 00:30:00
"274",0,0,0,0,0,0,0,0.5,0.002,0,0,2021-05-17 12:30:00
"275",0,0,0,0,1,0,0,0,0,1,0,2021-05-18 00:30:00
"276",0,0,0,0,0,0,0,1,0,0,0,2021-05-18 12:30:00
"277",0,0,0,0,0,0,0,1,0,0,0,2021-05-19 00:30:00
"278",1,0,0,0,0,0,0,1,0.002,0,0,2021-05-19 12:30:00
"279",0,0,0,1,0,0,0,1,0,0,0,2021-05-20 00:30:00
"280",0,0,0,1,1,0,0,1,0,0,0.352,2021-05-20 12:30:00
"281",0,0.014,0,0,0,0,0,1,0,0,0,2021-05-21 00:30:00
"282",0,0.004,0,0,0,0,0,1,0.006,0,0,2021-05-21 12:30:00
"283",0,0.086,0,1,0,0,0,1,0.004,0,0,2021-05-22 00:30:00
"284",0,0.378,0,1,0,0,0,1,0.004,0,0,2021-05-22 12:30:00
"285",0.096,0.482,0,1,0,0,0,0.5,0.002,0,0.002,2021-05-23 00:30:00
"286",0.812,0,0,1,0,0,0,1,0,0,0.004,2021-05-23 12:30:00
"287",0,0,0,0,0,0,0,0,0,0,0,2021-05-24 00:30:00
"288",0,0,0,0,1,0,0,0,0.004,0,0,2021-05-24 12:30:00
"289",0,0,0,0,0,0,0,0,0.008,0,0,2021-05-25 00:30:00
"290",0,0,0,0,0,0,0,0,0,0,0,2021-05-25 12:30:00
"291",0,0,0,0,0,0,0,0,0,0,0,2021-05-26 00:30:00
"292",0,0,0,0,0,0,0,0,0,0,0,2021-05-26 12:30:00
"293",0,0,0,0,0,0,1,0,0,0,0,2021-05-27 00:30:00
"294",0,0,0,0,0,0,1,0,0.288,0,0,2021-05-27 12:30:00
"295",0,0,1,0,0,0,1,0,0,0,0,2021-05-28 00:30:00
"296",0,0,0.008,0,0,0,0,0,0,0,0,2021-05-28 12:30:00
"297",0,0,0,1,0,0,0,0,0,0,0,2021-05-29 00:30:00
"298",0,0,0,0,0,0,0,0,0,0,0,2021-05-29 12:30:00
"299",0,0,0,0,0,0,0,1,0,0,1,2021-05-30 00:30:00
"300",0,0,0,0,0,0,0,1,0,0,0.23,2021-05-30 12:30:00
"301",0,0,0,0,0,0,0,0,0,0,0,2021-05-31 00:30:00
"302",0,0,0,0,0,0,1,1,0,0,0,2021-05-31 12:30:00
"303",0,0,0,0,0,0,1,1,0,0,0,2021-06-01 00:30:00
"304",0,0,0,1,0,1,1,1,0,0,0,2021-06-01 12:30:00
"305",0,0,0,0,0,0,0,1,0,0,0,2021-06-02 00:30:00
"306",0,0,1,0,0,0,0,1,0,0,0,2021-06-02 12:30:00
"307",0,0,0,0,0,0,0,1,0,0,0.004,2021-06-03 00:30:00
"308",0,0,0,0,0,0,1,1,0.614,0,1,2021-06-03 12:30:00
"309",0.09,0,0,0,0,0,0,0,0.1,0,0,2021-06-04 00:30:00
"310",0,0,0,0,0,0,0,0,0,0,0,2021-06-04 12:30:00
"311",0,1,0,0,0,0,0,0,0,0,0,2021-06-05 00:30:00
"312",0,0,0,0,0,0,0,0,0,0,0,2021-06-05 12:30:00
"313",0,0,0,0,0,0,0,0,0,0,0,2021-06-06 00:30:00
"314",0,0,0,0,0,0,0,0,0.008,0,0,2021-06-06 12:30:00
"315",0,0,0,0,0,0,0,0,0.004,1,0,2021-06-07 00:30:00
"316",0,0,0,0,0,0,0,0,0,0,0,2021-06-07 12:30:00
"317",0,0,0,0,0,1,0,0,0.01,0,0,2021-06-08 00:30:00
"318",0,0,0,0,0,0,0,1,0.016,0.038,0,2021-06-08 12:30:00
"319",0,0,0,0,0,0,0,0,0.024,0,0,2021-06-09 00:30:00
"320",0,0,0,0,0,0,0,0,0.014,0,0,2021-06-09 12:30:00
"321",0,0,0,0,0,0,0,0,0.026,0,0,2021-06-10 00:30:00
"322",0,0,0,0,0,0.998,0,0,0.036,0,0,2021-06-10 12:30:00
"323",0,0,0,0,0,0,0,0,0.02,0,0,2021-06-11 00:30:00
"324",0,0,0,0,0,0,0,0,0.028,0,0,2021-06-11 12:30:00
"325",0,0,0,0,0,0,0,0.008,0.008,0,0,2021-06-12 00:30:00
"326",0,0,0,0,0,0,0,0,0.01,0,0,2021-06-12 12:30:00
"327",0.912,0,0,0,0,0,0,0,0.004,0,0,2021-06-13 00:30:00
"328",0,0,0,0,0,1,0,0,0.008,1,0,2021-06-13 12:30:00
"329",0,0,0,0.522,0,0,0,0.5,0.002,0,0,2021-06-14 00:30:00
"330",0,0,0,0,0,0,0,0.004,0.002,0,0,2021-06-14 12:30:00
"331",0,0,0,0.48,0,0,0,0.5,0,0,0,2021-06-15 00:30:00
"332",0,0,0,0,0,0,0,0.5,0,0,0,2021-06-15 12:30:00
"333",0,0,0,0,0,0,0,0,0,0,0,2021-06-16 00:30:00
"334",0,0,0,0,0,0,0,0,0,0,0,2021-06-16 12:30:00
"335",0,0,0,0,0,0,0,0,0,0,0,2021-06-17 00:30:00
"336",1,0,0,0,1,0,0,0,0,0,0,2021-06-17 12:30:00
"337",0,0,0,0,0,0,0,0,0,0,0,2021-06-18 00:30:00
"338",0,0,0,0,0,0,0,1,0,0,0,2021-06-18 12:30:00
"339",0,0,0,0,0,0,0,1,0,0,0,2021-06-19 00:30:00
"340",0.002,0,0,0,0,0,0,1,0,0,0,2021-06-19 12:30:00
"341",0,0,0,0,0,0,0,1,0,0,0,2021-06-20 00:30:00
"342",0,0,0,0,0,0,0,1,0,0,0,2021-06-20 12:30:00
"343",0,0,0,0,0,0,0,1,0,0,0,2021-06-21 00:30:00
